samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-91241111,SWWA 880,3,1,1
SW-70921066,DRA 1456,3,1,1
SW-73015033,202081,7,1,1
SW-E8900049,101049,7,1,1
SW-50330910,041355,4,1,1
SW-73010870,NPSWQD004100,1,1,1
SW-Z1011505,102718,2,1,1
SW-Z7500105,100673,5,1,1
SW-50250000,NPSWQD005901,1,01,01
SW-E4000049,101331,3,1,1
SW-60060613,102486,3,1,1
SW-81241326,15/47/42/P/5,3,1,1
SW-50340493,040628,5,1,2
SW-73060256,SWWA 206,4,1,1
SW-A2270303,010059,4,1,1
SW-E1200011,070076,4,2,1
SW-81910618,301266,2,1,1
SW-50210358,401500,5,1,2
SW-C4404700,402536,2,1,2
SW-82315180,303049,4,1,1
SW-91251625,NRA-SW-6741,4,1,1
SW-91210280,303720,1,1,1
SW-70642090,DRA 1462,2,1,1
SW-50210021,402297,2,1,1
SW-81420271,NRA-SW-3789,8,1,1
SW-70314519,200834,5,1,1
SW-81211257,SWWA 179,4,1,1
SW-70550126,201437,8,1,1
SW-Z5012803,011559,6,1,1
SW-81229901,301142,7,1,5
SW-81214763,300072/FN/01,4,1,1
SW-A3200244,010080,4,1,2
SW-70230155,DRA 1539,3,1,1
SW-91522185,SWWA 2096,2,1,1
SW-A3190205,102988,3,1,1
SW-E7080011,071977,4,2,1
SW-6WXE0563,102050,6,1,2
SW-Z3110104,102816,3,1,1
SW-Z3110104,102816,4,1,1
SW-E2060099,071984,2,A,B
SW-70812669,203442,7,1,1
SW-50034510,400435,4,1,1
SW-70522991,NRA-SW-3580,3,1,1
SW-73062522,NRA-SW-6747,3,1,1
SW-81950668,NRA-SW-7828,3,1,1
SW-70720812,200357/FN/01,3,1,1
SW-70815223,NRA-SW-6082,5,1,1
SW-70814690,203034,3,1,1
SW-70814642,203410,5,1,1
SW-70550126,201437,9,1,1
SW-82210920,303096,5,1,1
SW-81930115,CRA 172,5,1,1
SW-70531275,NRA-SW-3570,4,1,1
SW-72940662,200365/FN/01,3,1,1
SW-70531787,200927,3,1,1
SW-FPF00097,201678,4,1,1
SW-50280010,EPREP3226XS,1,1,1
SW-70712263,NRA-SW-5295,3,1,1
SW-70531323,202474,3,1,1
SW-70910177,202413,2,1,1
SW-81201606,NRA-SW-6975,3,1,1
SW-91241745,CRA 25,4,1,1
SW-70210166,202563,5,1,1
SW-81241326,15/47/42/P/5,6,1,1
SW-72934606,DRA 456,4,1,1
SW-81231464,SWWA 877,4,1,1
SW-E0910081,101940,3,1,1
SW-B0060101,010001,5,1,1
SW-81241326,15/47/42/P/5,4,1,1
SW-50210329,401518,5,1,1
SW-50330342,401961,3,1,1
SW-50310244,040010,4,3,1
SW-50704490,400673,6,1,1
SW-Z7500138,012129,4,1,1
SW-50231076,040080,6,1,1
SW-50341119,402335,3,1,1
SW-60270550,103392,3,1,1
SW-60270555,103392,3,2,1
SW-E1000089,070379,4,1,1
SW-80490002,302808,3,1,1
SW-70532650,SWWA 5,3,1,1
SW-E4000041,101331,4,1,2
SW-60032867,102152,3,1,1
SW-Z8480205,102943,3,1,1
SW-E7040019,072054,4,1,1
SW-E1000041,101332,4,1,2
SW-C4792900,400622,5,1,1
SW-50260309,041354,4,1,2
SW-50331086,040037,5,1,1
SW-E4330019,102410,4,1,1
SW-50340385,401340,4,1,3
SW-FPF00020,401355,4,1,2
SW-50370229,401065,6,1,1
SW-50950709,401354,6,1,1
SW-50459901,401336,4,1,2
SW-70220171,DRA 1559,4,1,1
SW-81310248,303644,3,1,1
SW-60031395,101543,3,1,1
SW-82113588,15/48/24/P/4,5,1,1
SW-91252180,302488,4,1,1
SW-70813018,203223,5,1,1
SW-81010180,302993,5,1,1
SW-81010180,302993,6,1,1
