EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,003269/FU/01,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70110131,,,3022.0,,,,SW-70110131
SW,EA South West Region,103881,1,1,1,SEWAGE & TRADE COMBINED - UNSPECIFIED,Z8480130,29,PACKAGE TREATMENT PLANT,,55.0,,,SW-Z8480130
SW,EA South West Region,NRA-SW-5475,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81950927,14,LAND IRRIGATION,1390.0,3025.0,,,SW-81950927
SW,EA South West Region,300827/FN/01,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81951557,01,BIOLOGICAL FILTRATION,720.0,,,,SW-81951557
SW,EA South West Region,302822,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,82010142,08,DO NOT USE - USE 40 TO 43 CHEMICAL - PHOSPHATE STRIPPING,2893.0,,,,SW-82010142
SW,EA South West Region,103825,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,60120050,01,BIOLOGICAL FILTRATION,2.0,,,,SW-60120050
SW,EA South West Region,401056,1,2,2,AGRICULTURE - WATER CRESS FARMING,C7021001,99,NONE,,,,,SW-C7021001
SW,EA South West Region,DRA 1130,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70611292,01,BIOLOGICAL FILTRATION,340.9,,,,SW-70611292
SW,EA South West Region,401739,1,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,C4002700,11,SCREENING,2184.0,,,,SW-C4002700
SW,EA South West Region,SWWA 665,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,72910254,01,BIOLOGICAL FILTRATION,,70.0,,,SW-72910254
SW,EA South West Region,NRA-SW-7714,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,70523798,,,,10.0,,,SW-70523798
SW,EA South West Region,NRA-SW-7714,2,1,2,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,70523798,,,,5.0,,,SW-70523798
SW,EA South West Region,303233,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81515954,01,BIOLOGICAL FILTRATION,66.0,,,,SW-81515954
SW,EA South West Region,041354,2,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50260309,11,SCREENING,,,,,SW-50260309
SW,EA South West Region,041352,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50280457,08,DO NOT USE - USE 40 TO 43 CHEMICAL - PHOSPHATE STRIPPING,1887.0,,,,SW-50280457
