samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50590008,DOREYS BALL CLAY WORKS EFFLUENT,391366.98509622685,84532.38800119513,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50950300,POOLE HARBOUR ROCKLEY SANDS (19450),397265.486897287,91075.60140770272,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50950351,LYTCHETT MINSTER STW  POOLE,396779.2036002216,92354.70989495845,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50950709,POOLE STW FE OUTFALLS 1 AND 2 COMBINED,400717.2547195331,93576.90111883589,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50950270,POOLE HARBOUR AT LAKE (19400),398310.0697882853,90463.52732857002,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50951010,SHERFORD RIVER AT KING BRIDGE,395452.3873739292,92389.0863706788,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50951080,BLACKHEATH STW  BLOXWORTH  WAREHAM,389772.6792719588,93253.5023743538,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C0844000,WATERGATES FISH FARM,374161.13473263406,87091.46862567085,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50520233,HOOKE SPRINGS FISH FARM OUTLET BEAMINSTER,353500.2741698433,100301.86560804331,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50530138,RIVER FROME AT NOTTON,360931.2935941554,95992.532068591,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50530197,RIVER FROME AT MAIDEN NEWTON,359562.0679852729,97693.36013478396,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50520237,HOOKE SPRINGS FISH FARM INLET (PARK POND SPUR),353433.2903646371,100691.70271864397,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50450146,OUTLET FROM EIGHT HATCH FISH FARM  TRIGON  WAREHAM,389352.897169232,88150.17991841226,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C7022000,BROCKHILL WATERCRESS FARM A RELEASE 1,383540.57021248416,92880.35447991273,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C7021001,WARMWELL WATERCRESS FARM B,374621.81358074304,87389.4523172685,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C7018000,"WARMWELL WATERCRESS FARM C (PREVIOUSLY WATERCRESS A, 043238)",374727.5105854752,87333.33674107207,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C7010000,SOUTHBROOK CRESS SETTLEMENT BERE REGIS,385082.2312666042,93998.83777177,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C0538000,HOOKE MAIDEN NEWTON,359533.6924336405,97671.33921266746,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN0029,RSN0029 AT FROME VAUGHCHURCH HOUSE,359975.4866672482,97356.53667497094,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50331270,HARTSFOOT CLOSE STW FINAL EFFLUENT MELCOMBE BINGHAM,376302.4799690964,102694.35864822762,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-C7022001,BROCKHILL WATERCRESS FARM A RELEASE 2,383427.6226123048,92869.59387291149,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50959999,MISC POOLE HARBOUR NORTH CATCHMENT INCLUDING HOLES BAY AND TRIBUTARIES,396998.0783157413,92499.13718662703,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN0621,RSN0621 PIDDLE AT HYDE ESTATE,387534.0505782355,89610.98236841458,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN0653,RSN0653 BERE STREAM D/S DODDINGS CRESS BEDS,385538.2925762626,93085.68152595084,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN1685,RSN1685 SYDLING DOWNSTREAM OFLOWER MAGISTON FARM,363569.0046305903,95962.26808170916,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50419999,MISCELLANEOUS UPPER PIDDLE CATCHMENT,370003.4999844664,102404.48135707424,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50430144,RIVER PIDDLE AT TURNERSPUDDLE,382963.1742762829,93271.42935271704,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN0845,RSN0845 CHANNEL AT THE DAIRY HOUSE WEST STAFFORD,373009.4418773613,89799.55777443023,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN1925,RSN1925 DRAIN AT BOVINGTON MOD TRAINING AREA,382387.5410905911,87913.38507807985,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50440119,BERE STREAM D/S DODDINGS WATERCRESS AT   SNATFORD BRIDGE,385580.3543543636,92985.4818523726,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50439999,MISCELLANEOUS MIDDLE PIDDLE CATCHMENT DEVILS BROOK TO BERE STREAM,381501.4927527586,92998.4271274845,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50430109,PIDDLE UPSTREAM CHAMBERLAYNES FARM,384471.6951666931,92744.03904056308,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50450320,WAREHAM FOREST STREAM AT SANDFORD ROAD,392461.9731406624,88956.47692615024,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50540127,SYDLING WATER D/S LOWER MAGISTON FISH FARM,363609.6883715096,95728.44857711504,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570145,RIVER FROME DS WADDOCK CROSS,380741.1832391556,89687.34401767846,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570219,TRIB OF FROME DS WOODSFORD QUARRY,375086.7150876076,90056.08824469044,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50440158,BERE STREAM AT BERE REGIS,384210.3666725116,94991.12870859668,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570225,TRIB OF FROME DS ILSINGTON CRESS BEDS,376667.67221147695,91472.16176929756,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570384,TINCLETON BROOK DS TINCLETON CRESS BEDS,376830.9196849428,91671.59814213344,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50589999,MISCELLANEOUS TADNOLL BROOK CATCHMENT,375498.332308094,85995.2178073469,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50580183,TADNOLL BROOK DOWNSTREAM BROADMAYNE STW,373558.70300811954,86716.40039285389,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50590188,RIVER FROME AT WOOL BRIDGE,384462.0453195936,87161.7132526171,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50599999,MISCELLANEOUS LOWER FROME TADNOLL BROOK TO WAREHAM,388503.440324233,90498.35483078056,,0.0,,,,,,,,,,,,,,,,,,,,,,
