,EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
65,SW,EA South West Region,042451,8,1a,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
66,SW,EA South West Region,042451,8,2a,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
67,SW,EA South West Region,042453,6,1,1,1,12,95 PERCENTILE,24.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
68,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,0.3,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,COMPARATIVE
69,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,0.5,,,,,61,PH UNITS,pH,COMPARATIVE
70,SW,EA South West Region,041353,6,1,1,1,12,MEAN VALUE,1.0,,,,,348,MILLIGRAM PER LITRE,"Phosphorus, Total as P",ABSOLUTE
71,SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
72,SW,EA South West Region,EPRYB3197RR,2,1,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
73,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
74,SW,EA South West Region,401521,2,1,1,1,12,95 PERCENTILE,60.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
75,SW,EA South West Region,040109,2,1,1,1,12,95 PERCENTILE,70.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
76,SW,EA South West Region,EPRXB3136AW,1,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
77,SW,EA South West Region,041324,9,1,1,1,12,MEAN VALUE,1.3,,,,,348,MILLIGRAM PER LITRE,"Phosphorus, Total as P",ABSOLUTE
78,SW,EA South West Region,042116,4,1,2,1,12,95 PERCENTILE,25.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
79,SW,EA South West Region,043233,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
80,SW,EA South West Region,401059,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
81,SW,EA South West Region,401059,2,2,2,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
82,SW,EA South West Region,400114/CF/01,2,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
83,SW,EA South West Region,401056,2,2,2,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
84,SW,EA South West Region,042451,8,1a,1,1,12,MAXIMUM VALUE,27.0,95 PERCENTILE,7.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
85,SW,EA South West Region,042451,8,1b,1,1,12,MAXIMUM VALUE,56.0,95 PERCENTILE,20.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
86,SW,EA South West Region,042451,8,2a,1,1,12,MAXIMUM VALUE,27.0,95 PERCENTILE,7.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
87,SW,EA South West Region,042451,8,2b,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
88,SW,EA South West Region,040067,5,1,1,5,10,95 PERCENTILE,15.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
89,SW,EA South West Region,040067,5,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
90,SW,EA South West Region,041444,1,1,1,1,12,MAXIMUM VALUE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
91,SW,EA South West Region,401223,3,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
92,SW,EA South West Region,401223,3,2,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
93,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
94,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,0.3,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,COMPARATIVE
95,SW,EA South West Region,401521,2,1,1,1,12,95 PERCENTILE,40.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
96,SW,EA South West Region,401059,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
97,SW,EA South West Region,041324,9,1,1,1,12,95 PERCENTILE,13.0,MAXIMUM VALUE,42.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
