,row_id,n,DETE,DETE_CODE,EA_REGION,EFFLUENT_NUMBER,METHOD,MONTH_FROM,MONTH_TO,OUTLET_NUMBER,PERMIT_REF,REGION,UNITS,VERSION,RULE_TYPE,RULE_VALUE
56,56,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1,041324,EA South West Region,MILLIGRAM PER LITRE,9,95 PERCENTILE,26.0
57,57,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,95 PERCENTILE,15.0
58,58,1,Ammoniacal Nitrogen as N,111,SW,1,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,95 PERCENTILE,10.0
59,59,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,043232,EA South West Region,MILLIGRAM PER LITRE,2,MAXIMUM VALUE,20.0
60,60,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,MILLIGRAM PER LITRE,2,MAXIMUM VALUE,20.0
61,61,1,pH,61,SW,3,ABSOLUTE,1,12,3,401056,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0
62,62,1,"Solids, Suspended at 105 C",135,SW,4,ABSOLUTE,1,12,4,401056,EA South West Region,MILLIGRAM PER LITRE,2,MAXIMUM VALUE,20.0
63,63,1,Zinc,6455,SW,4,ABSOLUTE,1,12,4,401056,EA South West Region,MICROGRAM PER LITRE,2,MAXIMUM VALUE,75.0
64,64,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1a,042451,EA South West Region,MILLIGRAM PER LITRE,8,MAXIMUM VALUE,56.0
65,65,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1a,042451,EA South West Region,MILLIGRAM PER LITRE,8,95 PERCENTILE,30.0
66,66,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,2a,042451,EA South West Region,MILLIGRAM PER LITRE,8,95 PERCENTILE,30.0
67,67,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,042453,EA South West Region,MILLIGRAM PER LITRE,6,95 PERCENTILE,24.0
68,68,1,Ammoniacal Nitrogen as N,111,SW,1,COMPARATIVE,1,12,1,041518,EA South West Region,MILLIGRAM PER LITRE,1,MAXIMUM VALUE,0.3
69,69,1,pH,61,SW,1,COMPARATIVE,1,12,1,041519,EA South West Region,PH UNITS,1,MAXIMUM VALUE,0.5
70,70,1,"Phosphorus, Total as P",348,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MILLIGRAM PER LITRE,6,MEAN VALUE,1.0
71,71,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MILLIGRAM PER LITRE,6,95 PERCENTILE,30.0
72,72,1,pH,61,SW,1,ABSOLUTE,1,12,1,EPRYB3197RR,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0
73,73,1,Turbidity,6396,SW,1,COMPARATIVE,1,12,2,041519,EA South West Region,NEPHELOMETRIC TURBIDITY UNITS,1,MAXIMUM VALUE,5.0
74,74,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,401521,EA South West Region,MILLIGRAM PER LITRE,2,95 PERCENTILE,60.0
75,75,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,040109,EA South West Region,MILLIGRAM PER LITRE,2,95 PERCENTILE,70.0
76,76,1,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,SW,1,ABSOLUTE,1,12,1,EPRXB3136AW,EA South West Region,PRESENT/NOT FOUND,1,MAXIMUM VALUE,0.5
77,77,1,"Phosphorus, Total as P",348,SW,1,ABSOLUTE,1,12,1,041324,EA South West Region,MILLIGRAM PER LITRE,9,MEAN VALUE,1.3
78,78,1,BOD : 5 Day ATU,85,SW,2,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,95 PERCENTILE,25.0
79,79,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,043233,EA South West Region,MILLIGRAM PER LITRE,2,MAXIMUM VALUE,20.0
80,80,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,401059,EA South West Region,MICROGRAM PER LITRE,2,MAXIMUM VALUE,75.0
81,81,1,pH,61,SW,2,ABSOLUTE,1,12,2,401059,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0
82,82,1,pH,61,SW,1,ABSOLUTE,1,12,1,400114/CF/01,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0
83,83,1,pH,61,SW,2,ABSOLUTE,1,12,2,401056,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0
84,84,1,Ammoniacal Nitrogen as N,111,SW,1,ABSOLUTE,1,12,1a,042451,EA South West Region,MILLIGRAM PER LITRE,8,MAXIMUM VALUE,27.0
85,85,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1b,042451,EA South West Region,MILLIGRAM PER LITRE,8,MAXIMUM VALUE,56.0
