PERMIT_REF,VERSION,DETE_CODE,row_count
016810083,13,664,2
016810083,14,664,2
016810083,15,664,2
016810083,16,664,2
016810083,17,664,2
016810083,18,664,2
016810083,19,664,2
016810083,21,3647,2
016810083,22,3647,2
016810084,1,135,2
016810084,2,135,2
016810084,3,135,2
016810084,6,3647,2
016810085,1,135,2
016810085,2,135,2
016810085,3,135,2
016810085,3,9829,2
016810085,4,135,2
016810085,4,9829,2
016810085,5,135,2
016810085,6,135,2
016810085,7,135,2
016810085,8,135,2
016810085,8,8174,2
016810085,9,135,2
016810085,9,8174,2
016810085,10,135,2
016810085,10,3647,2
016810085,10,8174,2
016810091,1,135,2
016810091,2,135,2
016810091,9,3647,2
016810097,1,135,2
016810097,2,135,2
016810097,3,135,2
016810097,4,135,2
016810097,4,9829,2
016810097,5,135,2
016810097,5,9829,2
016810097,6,9829,2
016810098,4,9826,2
016810098,5,9826,2
016810099,1,135,2
016810099,1,9829,2
016810099,2,135,2
016810099,2,9829,2
016810099,3,135,2
016810099,3,9829,2
016810099,4,135,2
016810099,4,9829,2
016810099,5,135,2
016810099,5,9829,3
016810099,6,135,2
016810099,6,9829,3
016810099,7,135,2
016810099,7,9829,3
016810099,9,135,2
016810099,9,9829,3
016810099,10,135,2
016810099,10,8174,2
016810099,11,8174,2
016810099,12,8174,2
016810099,13,8174,2
016810099,14,8174,2
016810099,15,3647,2
016810099,15,8174,2
016810100,7,9829,2
016810100,8,8174,2
016810103,1,135,2
016810103,1,9829,2
016810103,2,135,2
016810103,2,9829,2
016810103,3,135,2
016810103,3,9829,2
016810103,6,3647,2
016810106,1,135,2
016810106,2,135,2
016810106,10,3647,2
016810110,1,135,2
016810110,2,135,2
016810110,7,8174,2
016810110,8,3647,2
016810110,8,8174,2
016810113,1,135,2
016810113,1,9829,2
016810113,2,135,2
016810113,2,9829,2
016810113,3,664,2
016810113,4,664,2
016810113,5,664,2
016810113,6,664,2
016810116,1,135,2
016810116,1,9829,2
016810116,2,135,2
016810116,2,9829,2
016810116,3,9829,2
016810116,4,9829,2
016810116,6,8174,2
016810116,7,8174,2
016810116,8,8174,2
016810116,9,3647,2
016810116,9,8174,2
016810117,1,135,2
016810117,2,135,2
016810187,3,135,2
016810187,3,9829,2
016810187,4,9829,2
016810187,5,135,2
016810187,6,135,2
016810187,7,135,2
016810187,7,8174,2
016810187,8,135,2
016810187,8,8174,2
016810187,9,135,2
016810187,9,8174,2
016810187,10,135,2
016810187,10,8174,2
016810187,11,135,2
016810187,11,8174,2
016810291,1,7444,2
016810292,1,7444,2
016810293,1,7444,2
016810294,1,7444,2
016810294,2,7444,2
016810340,3,7444,2
016810369,1,7444,2
016810665,4,7444,2
016810772,3,135,2
016810772,3,9829,2
016810772,4,9829,2
016810844,2,135,2
016820127,1,85,3
016820127,1,135,4
016820127,1,9826,3
016820127,2,85,3
016820127,2,135,4
016820127,2,9826,3
016820127,3,85,3
016820127,3,135,4
016820127,3,9826,3
016820127,4,135,2
016820127,5,135,2
016820127,6,135,2
016820128,1,135,2
016820128,2,135,2
016820128,6,3647,2
016820392,2,7444,2
016881615,4,7444,2
016881659,2,7444,2
016881660,2,7444,2
016881933,2,7444,2
016881966,2,7444,2
016890001,1,50,2
016890001,1,61,2
016890001,1,76,2
016890001,1,85,2
016890001,1,92,2
016890001,1,105,2
016890001,1,108,2
016890001,1,111,2
016890001,1,135,2
016890001,1,175,2
016890001,1,3164,2
016890001,1,6050,2
016890001,1,6452,2
016890001,1,6462,2
016890001,1,7811,2
016890001,1,9826,2
016890002,1,61,2
016890002,1,76,2
016890002,1,85,2
016890002,1,97,2
016890002,1,111,2
016890002,1,135,2
016890002,1,1066,2
016890002,1,9826,2
016890002,1,9827,2
016890002,2,61,2
016890002,2,76,2
016890002,2,85,2
016890002,2,135,2
016890002,2,1066,2
016890005,1,76,2
016890005,1,85,2
016890005,1,97,2
016890005,1,111,2
